Identifier_1,sample,time,temperature,material,genus,species,sample_wt_initial,sample_wt_final,amount,d13C_corrected,d15N_corrected,N_wt_percent,C_wt_percent,C/N,notes
5025,goat.035.3,35,5,dentine,Capra,hircus,2.555,0.247,0.247,-23.18,3.81,15.15,40.62,2.68,
5026,goat.040.1,40,5,dentine,Capra,hircus,2.499,0.237,0.237,-23.25,3.92,15.15,40.42,2.67,
5030,goat.040.2,40,5,dentine,Capra,hircus,2.485,0.235,0.235,-23.2,4.09,14.94,39.66,2.65,
5031,goat.040.3,40,5,dentine,Capra,hircus,2.526,0.231,0.231,-23.19,3.94,15.13,40.35,2.67,
5032,goat.045.1,45,5,dentine,Capra,hircus,2.52,0.269,0.269,-23.21,3.85,13.19,35.94,2.72,
5033,goat.045.2,45,5,dentine,Capra,hircus,2.45,0.232,0.232,-23.2,3.88,15.21,40.69,2.68,
5034,goat.045.3,45,5,dentine,Capra,hircus,2.45,0.246,0.246,-23.22,4,14.92,40.06,2.69,
5035,goat.050.1,50,5,dentine,Capra,hircus,2.492,0.245,0.245,-23.26,3.89,14.98,40.66,2.71,
5036,goat.050.2,50,5,dentine,Capra,hircus,2.475,0.223,0.223,-23.17,3.91,15.01,40.1,2.67,
5037,goat.050.3,50,5,dentine,Capra,hircus,2.467,0.228,0.228,-23.18,3.81,15.04,40.47,2.69,
5038,goat.055.1,55,5,dentine,Capra,hircus,2.463,0.248,0.248,-23.28,4.06,15.18,40.79,2.69,
5039,goat.055.2,55,5,dentine,Capra,hircus,2.544,0.238,0.238,-23.26,3.87,15.13,41.1,2.72,
5040,goat.055.3,55,5,dentine,Capra,hircus,2.474,0.255,0.255,-23.38,3.98,15.25,42.17,2.77,
5044,goat.060.1,60,5,dentine,Capra,hircus,2.52,0.265,0.265,-23.23,4.02,15.25,41.18,2.7,
5045,goat.060.2,60,5,dentine,Capra,hircus,2.454,0.274,0.274,-23.44,3.9,14.72,41.64,2.83,
5046,goat.060.3,60,5,dentine,Capra,hircus,2.475,0.252,0.252,-23.24,3.9,14.95,40.54,2.71,
